"email","quality","result","free","role"
"100acrewood@justchildcare.co.uk","good","ok","no","no"
"1ststepspreschoolltd@gmail.com","good","ok","yes","no"
"2littlebirdspreschool@gmail.com","good","ok","yes","no"
"85office@st-augustines.solihull.sch.uk","good","ok","no","no"
"a.ek@hotmail.co.uk","good","ok","yes","no"
"a.hynam@virginactive.co.uk","bad","invalid","no","no"
"a.shiel-teddys@outlook.com","risky","unknown","yes","no"
"a.wardrope@boutiquenursery.com","good","ok","no","no"
"abacus@completechildcare.co.uk","good","ok","no","no",""
"abacuschildrensnursery@outlook.com","risky","unknown","yes","no"
"abacusnursery1111@gmail.com","good","ok","yes","no"
"abbeymore@brighthorizons.com","good","ok","no","no"
"abbeywood1991@gmail.com","good","ok","yes","no"
"abbie.stovin@racing-start.com","bad","invalid","no","no"
"abc.meadowbank@gmail.com","good","ok","yes","no"
"abcatds@gmail.com","good","ok","yes","no"
"abcchildcareservices@btinternet.com","risky","unknown","yes","no"
"abcdaynursery@yahoo.co.uk","risky","unknown","yes","no"
"abchyde@gmail.com","good","ok","yes","no"
"abcnurserylufc@gmail.com","good","ok","yes","no"
"abdinasirahmed016@gmail.com","good","ok","yes","no"
"abrahamberehe@yahoo.com","risky","unknown","yes","no"
"academicsdaynursery@yahoo.co.uk","risky","unknown","yes","no"
"academy@littlestepscc.co.uk","good","ok","no","yes"
"accounts.payable@tigertotsnursery.co.uk","good","ok","no","no"
"accounts@buildingblocksnurseries.co.uk","good","ok","no","yes"
"accounts@fairfieldnursery.co.uk","risky","unknown","no","yes"
"accounts@jacqgemschildcare.com","good","ok","no","yes"
"accounts@littleelmsdaycare.co.uk","good","ok","no","yes"
"accounts@longwoodschool.co.uk","good","ok","no","yes"
"accounts@primetimenursery.co.uk","good","ok","no","yes"
"accounts@thelittleschool.co.uk","good","ok","no","yes"
"accrington@tudorhousedaynursery.co.uk","good","ok","no","no"
"acklam@nunthorpenurseries.co.uk","good","ok","no","no"
"aclingan@btinternet.com","risky","unknown","yes","no"
"acol@camdencommunitynurseries.org.uk","bad","invalid","no","no"
"acomb@muddybootsnursery.co.uk","good","ok","no","no"
"acorn@brighthorizons.com","good","ok","no","no"
"acorn@forestdale.croydon.sch.uk","good","ok","no","no"
"acorns.daynursery@gmail.com","good","ok","yes","no"
"acorns@grovelands.e-sussex.sch.uk","good","ok","no","no"
"acornsdaynursery@live.co.uk","good","ok","yes","no"
"acornsineldwick@btconnect.com","good","ok","no","no"
"acre_wood_day_nursery@yahoo.co.uk","risky","unknown","yes","no"
"adelecheadle@hotmail.co.uk","good","ok","yes","no"
"adeyfield@fpdn.co.uk","good","ok","no","no"
"admin.aintreedavenhill@schools.sefton.gov.uk","good","ok","no","no"
"admin.fitzrovia@rainbowangels.co.uk","bad","invalid","no","no"
"admin.lydegreen@happydaysnurseries.com","good","ok","no","no"
"admin.parkhill-inf@redbridge.gov.uk","risky","catch_all","no","no"
"admin.westonsm@happydaysnurseries.com","good","ok","no","no",""
"admin@abacuspreschool.org.uk","good","ok","no","yes"
"admin@abc-nursery.co.uk","good","ok","no","yes"
"admin@absolute-angels.co.uk","risky","catch_all","no","yes"
"admin@aclassnursery.co.uk","good","ok","no","yes"
"admin@adstepsdaynursery.co.uk","good","ok","no","yes"
"admin@angliasunshinenurseries.co.uk","good","ok","no","yes"
"admin@anglodutch.co.uk","good","ok","no","yes"
"admin@appletreechildcare.org.uk","good","ok","no","yes"
"admin@appletree-nursery.com","good","ok","no","yes"
"admin@a-starsearlyeducation.com","risky","catch_all","no","yes"
"admin@balham-nursery.wandsworth.sch.uk","good","ok","no","yes"
"admin@bananamoon-davyhulme.co.uk","risky","catch_all","no","yes"
"admin@bcph.org.uk","good","ok","no","yes"
"admin@bellissima-nurseries.co.uk","good","ok","no","yes"
"admin@bevendean.brighton-hove.sch.uk","good","ok","no","yes"
"admin@bilingualdaynurseryashby.co.uk","good","ok","no","yes"
"admin@blossomtreepre.school","good","ok","no","yes"
"admin@blossomyears.co.uk","good","ok","no","yes"
"admin@blueskydaynursery.com","good","ok","no","yes"
"admin@boringdon.plymouth.sch.uk","risky","catch_all","no","yes"
"admin@bramblescholderton.co.uk","risky","catch_all","no","yes"
"admin@bramblesoutdoorgroup.co.uk","risky","catch_all","no","yes"
"admin@brambleytots.com","good","ok","no","yes"
"admin@brightfutureshighamsgreen.com","risky","catch_all","no","yes"
"admin@brightfuturesnursery.com","good","ok","no","yes"
"admin@brockhousenurserystalbans.co.uk","good","ok","no","yes"
"admin@brownbearchildcare.co.uk","risky","catch_all","no","yes"
"admin@busheyheathjm.herts.sch.uk","good","ok","no","yes"
"admin@buttercupnursery.co.uk","good","ok","no","yes"
"admin@cambridgenursery.com","good","ok","no","yes"
"admin@cedarhousenursery.co.uk","good","ok","no","yes"
"admin@chatterboxcommunitypreschool.co.uk","risky","catch_all","no","yes"
"admin@chiswicktoddlersworld.com","good","ok","no","yes"
"admin@chsouthwell.co.uk","good","ok","no","yes"
"admin@cleatormoor.cumbria.sch.uk","good","ok","no","yes"
"admin@comeandplaylydney.co.uk","bad","invalid","no","yes"
"admin@cosycottagedaycare.com","good","ok","no","yes"
"admin@cranknursery.net","good","ok","no","yes"
"admin@creswick.herts.sch.uk","good","ok","no","yes"
"admin@cuffley.herts.sch.uk","good","ok","no","yes"
"admin@dehavilland.herts.sch.uk","good","ok","no","yes"
"admin@earlybirdsdaycare.co.uk","good","ok","no","yes"
"admin@eljoynursery.com","good","ok","no","yes"
"admin@excelkidsdaynursery.co.uk","risky","catch_all","no","yes"
"admin@featheredskies.co.uk","risky","catch_all","no","yes"
"admin@fidgetsltd.co.uk","risky","catch_all","no","yes"
"admin@fingerprintsnursery.co.uk","good","ok","no","yes"
"admin@firsschool.org","good","ok","no","yes"
"admin@fledglingspreschool.co.uk","good","ok","no","yes"
"admin@foundationsnursery.com","risky","catch_all","no","yes"
"admin@fpdn.co.uk","good","ok","no","yes"
"admin@fundamentalschildcare.co.uk","risky","catch_all","no","yes"
"admin@gablehousenursery.co.uk","good","ok","no","yes"
"admin@gedn.co.uk","good","ok","no","yes"
"admin@gosforthpark.newcastle.sch.uk","good","ok","no","yes"
"admin@greatchild.co.uk","risky","catch_all","no","yes"
"admin@harcourtpreschool.org.uk","good","ok","no","yes"
"admin@heatondene.co.uk","risky","catch_all","no","yes"
"admin@hilltopprivatedaynursery.co.uk","risky","catch_all","no","yes"
"admin@hoblettsinfants.herts.sch.uk","good","ok","no","yes"
"admin@holdenparkpre-school.org.uk","good","ok","no","yes"
"admin@hopemontessorischool.com","good","ok","no","yes"
"admin@intothewoodsnursery.co.uk","good","ok","no","yes"
"admin@keydaynursery.co.uk","risky","catch_all","no","yes"
"admin@kiddieskottage.co.uk","risky","catch_all","no","yes"
